    season, game,    batter, inn, PA, AB, R, H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS
2013summer,    5,      Cole,   6,  4,  4, 4, 4,   1,   1,  2,   6,  0,  0,  0,   0, 1.000, 1.000, 3.250, 4.250
2011summer,    2,       Dan,   5,  1,  1, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2011summer,    5,       Dan,   2,  1,  1, 0, 0,   0,   0,  0,   0,  0,  1,  0,   0, 0.000, 0.000, 0.000, 0.000
2013summer,    2,      Dave,   2,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2013summer,    3,      Dave,   4,  3,  3, 1, 3,   1,   0,  0,   1,  0,  0,  0,   0, 1.000, 1.000, 1.333, 2.333
2013summer,    4,      Dave,   4,  2,  2, 0, 1,   0,   0,  0,   1,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2013summer,    5,      Dave,   2,  1,  1, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
  2010fall,    2,     Donna,   5,  3,  3, 0, 2,   0,   0,  0,   0,  0,  0,  0,   0, 0.667, 0.667, 0.667, 1.333
  2010fall,    4,     Donna,   4,  2,  1, 1, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 0.500, 0.000, 0.500
  2010fall,    5,     Donna,   6,  3,  3, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
  2010fall,    6,     Donna,   7,  3,  3, 1, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    1,     Donna,   5,  1,  0, 0, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 1.000, 0.000, 1.000
2010summer,    3,     Donna,   3,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
